Parameter	Parameter	Parameter	Description
clrversion	$clrversion$	$ext_clrversion$	Current version of the common language runtime (CLR).
ext_*	$ext_*$	$ext_ext_*$	Add the ext_ prefix to any parameter to refer to the variables of the parent template. For example, ext_safeprojectname.
guid[1-10]	$guid[1-10]$	$ext_guid[1-10]$	A GUID used to replace the project GUID in a project file. You can specify up to 10 unique GUIDs (for example, guid1).
itemname	$itemname$	$ext_itemname$	The name of the file in which the parameter is being used.
machinename	$machinename$	$ext_machinename$	The current computer name (for example, Computer01).
projectname	$projectname$	$ext_projectname$	The name provided by the user when the project was created. This parameter applies only to project templates.
registeredorganization	$registeredorganization$	$ext_registeredorganization$	The registry key value from HKLM\Software\Microsoft\Windows NT\CurrentVersion\RegisteredOrganization.
rootnamespace	$safeprojectname$	$ext_rootnamespace$	The root namespace of the current project followed by the subfolder of the current item, with slashes replaced by periods.
defaultnamespace	$defaultnamespace$	$ext_defaultnamespace$	The root namespace of the current project.
safeitemname	$safeitemname$	$ext_safeitemname$	Same as itemname but with all unsafe characters and spaces replaced by underscore characters.
safeitemrootname	$safeitemrootname$	$ext_safeitemrootname$	Same as safeitemname.
safeprojectname	$safeprojectname$	$ext_safeprojectname$	The name provided by the user when the project was created but with all unsafe characters and spaces removed. This parameter applies only to project templates.
targetframeworkversion	$targetframeworkversion$	$ext_targetframeworkversion$	Current version of the target .NET Framework.
time	$time$	$ext_time$	The current time in a format that's based on Windows user settings. One example of a time format is DD/MM/YYYY 00:00:00.
specifiedsolutionname	$specifiedsolutionname$	$ext_specifiedsolutionname$	The name of the solution. When "create solution directory" is checked, specifiedsolutionname has the solution name. When "create solution directory" is not checked, specifiedsolutionname is blank.
userdomain	$userdomain$	$ext_userdomain$	The current user domain.
username	$username$	$ext_username$	The current user name.
webnamespace	$webnamespace$	$ext_webnamespace$	The name of the current website. This parameter is used in the web form template to guarantee unique class names. If the website is at the root directory of the web server, this template parameter resolves to the root directory of the web server.
year	$year$	$ext_year$	The current year in the format YYYY.
